full_text,label,source
anies waktu 2029 asal punya tempat karya 5 tahun depan sekarang lebih baik anies masuk partai politik pks pkb nasdem,positive,twitter
bagai survei lihat kalau prabowo menang baik 1 2 putar tanya kemudian bagaimana anies pilpres tetap punya tempat labuh pilgub dki jikalau tak segan diolok2 gila jabat,positive,twitter
desak anies surabaya luar biasa of,positive,twitter
allahu akbar orang baik amp pintar pilih amin anies muhaimin,positive,twitter
gue optimis sih bakal 2 putar menang kalau enggak jadi kuat oposisi berkualitasseperti kata tom lembong investasi anies pilih bagus,positive,twitter
gue enggak sih harap pak anies benar menang terus indonesia benar jadi ubah arah lebih baik,positive,twitter
anjir baca begini nya menang baru kali ngerasain rasa takut kalo indonesia pimpin sama orang enggak baik allah moga pak anies menang allah,positive,twitter
gbk lebih baik aku sini bantu pak anies kosongkangbk,positive,twitter
jis kayak asik makanya senang dukung pak anies buat indonesia lebih baik kosongkangbk,positive,twitter
saksi desak anies sumbar semua antusias maju depan beliau bijaksana kata depan silah duduk kasihab teman diblakang enggak saksi acara baik makash abah membrikan contoh baik bgi,positive,twitter
luar biasa cuma anies satu bobotoh jak mania ubah shaa allah dunia sepak bola satu,positive,twitter
tagih anies part lanjut keren,positive,twitter
keren banget abahh kalo jadi presiden acara ganti jadi tagih anies bah,positive,twitter
moga datang sehat sehat moga acara sukses berkah menang anies muhaimin 01,positive,twitter
indonesia sedang baik baik buat niat ubah jadi nyata sama anies muhaimin indonesia jadi lebih baik moga allah meridoi ikhtiar jadi nyata,positive,twitter
masyaallah milenial hen semangat ubah tindak benar bosan ruang gerak bicara ancam uu ite insyaallah upaya dukung anies muhaimin menang 14 02 2024 hasil baik puas amin amin amin amin,positive,twitter
gue dukung 01 enggak sosok apa bawa sama sosok sebut ide gagas program amp etika baik perlu terus hidup amp tumbuh siapa sosok bawa khawatir iya satu satu cara kawal terus sodorin video video desak anies buat tagih,positive,twitter
sedih bangga campur jadi satu harap indonesia lebih baik indonesia untung milik anies baswedan moga allah meridoi iktiar ubah,positive,twitter
bangun tidur disuguhin video prof mahfud nyanyi bagus sih suara pak anies kayak akak prof mahfud daily prof mahfud dacademy,positive,twitter
non kpop related gue mrindink banget nontonnya doang sejis ngaji amp doa bareng luar loh banyak banget mashaallah abah anies amp cak imin semangat hari doa baik kumpulakbarjis01,positive,twitter
kok abang tinggal jakarta apa lama pak anies jadi gubernur rasa ubah lebih baik shg pilih abstain,positive,twitter
surabaya kota awal deklarasi amp akhir desak anieskeren,positive,twitter
anies lah pilih baik anies kalah pilih ganjar timbang prabowo,positive,twitter
gue yakin kalau pak anies kalah putar 1 pilih baik memang pak ganjar enggak mau deh pilih pak prabowo,positive,twitter
cak duwe anak wedhok sing hebat2 kudu sering ikut kampanye offline online talkshow podcast pakai strategi alam ganjar anak sampayean track recorde bahkan turut ku lebih hebat ayo dimanfaatke sebaik2nya cak bnyakin eksposure sekali anak wedhoke cak anies,positive,twitter
luar biasa dukung amin buat ikut dukung jis salam ubah tetap anies kalau kalah pak ganjar enggak apa,positive,twitter
mah lanjut kayak nya 212 plus sekaligus temu kangen alumni 212 lalu moga mledak penuh kaos gambar pak anies moga cuaca cerah tertib aman amp sukses selesai amp pulang nya semua selamat rumah amin yra,positive,twitter
jadi tanya enggak semua calon bakal se siap se enjoy anies kayak ganjar tanya nya siapin dulu pilih kampanye bagus banget gue enggak yakin kapasitas calon nya langsung face face sama msy,positive,twitter
keren hasil kerja anies beda zaman jokowow,positive,twitter
narasi begini2 bikin malas baik jahat bersih kotor wong awal riding the wave political identity i chose anies btw not because baik jahat bersih kotor,positive,twitter
lu lucu banget mas desak anies keren,positive,twitter
anies memang pilih baik sih jikalau kalah percaya ganjar asal bukan prabowo,positive,twitter
jadi nya bapak anies rasyid baswedan cak muhaimin iskandar jadi president beri warna kampanye baik jadi standart tinggi kampanye dialog temu masyarakat cerdas hidup bangsa ikhtiar tinggal doa siaga,positive,twitter
salut sih sama dukung pak anies tuj juang nya keren bett apa anies nya layak juang,positive,twitter
pilih anies suara nurani dukung pas jaga demokrasi indonesia lebih baik dukung ganjar kalo pak anies kalah putar pertama,positive,twitter
teman teman banyakm banget ikut desak anies surabaya tadi malem keren,positive,twitter
assalamualaikum warahmatullahi wabarkatuh kan salam buat abah anies baswedan semua nya insya allah aman nyaman sukses moga allah beri lindung selamat acara silaturahmi akbar acara nya tempat jis,positive,twitter
betul ganjar mahfud punya potensi besar bagus komunikasi pintar narasi enggak kalah anies dalang nya kurang piawai atur strategi tim nya kacau balau semua sayang sekali,positive,twitter
sini aku lihat semangat juang gotong royong rakyat indonesia ikan pak anies aku tau manusia sifat dinamis perlu terlalu percaya beliau nyadarin aku penting perintah allah anjur pilih pimpin baik penting,positive,twitter
tahun lalu pikir kalau beliau terlalu idealis hati ah enggak mungkin pak anies indonesia beliau bukti idealisme orang pimpin arah bagaimana mesti rakyat kooperatif semua keren,positive,twitter
masyaallah rame banget insyaallah pak anies jadi presiden 2024 2029 kalau kerja amp jujur memang benar bagus jadi presiden bismillah 2 periode,positive,twitter
tuju eti desak anies strategi kampanye brilliant manfaat masa bilang paslon 01 enggak niat nyapres semua usaha kampanye laku turut paling bagus aneh banget kan,positive,twitter
langsung lantik 02 wkwkwkwk kasihan pak anies pak ganjar timnasnya keluar miliar buat kampanye bagus sana sini eh kpunya sinting begini,positive,twitter
woohh anies memang luar biasa,positive,twitter
hati hati pernah datang acara desak anies tonton acara desak anies hati jadi ikut getar hebat apatah surabaya nyala banget terima kasih semua,positive,twitter
