full_text,label,source,keyword
anies waktu 2029 asal punya tempat karya 5 tahun depan sekarang lebih baik anies masuk partai politik pks pkb nasdem,positive,twitter,anies
bagai survei lihat kalau prabowo menang baik 1 2 putar tanya kemudian bagaimana anies pilpres tetap punya tempat labuh pilgub dki jikalau tak segan diolok2 gila jabat,positive,twitter,anies
desak anies surabaya luar biasa of,positive,twitter,anies
allahu akbar orang baik amp pintar pilih amin anies muhaimin,positive,twitter,anies
optimis sih bakal 2 putar menang kalau enggak jadi kuat oposisi berkualitasseperti kata tom lembong investasi anies pilih bagus,positive,twitter,anies
enggak sih harap anies benar menang terus indonesia benar jadi ubah arah lebih baik,positive,twitter,anies
anjir baca begini nya menang baru kali ngerasain rasa takut kalo indonesia pimpin sama orang enggak baik allah moga anies menang allah,positive,twitter,anies
gbk lebih baik aku sini bantu anies kosongkangbk,positive,twitter,anies
jis kayak asik makanya senang dukung anies buat indonesia lebih baik kosongkangbk,positive,twitter,anies
saksi desak anies sumbar semua antusias maju depan beliau bijaksana kata depan silah duduk kasihab teman diblakang enggak saksi acara baik makash abah membrikan contoh baik bgi,positive,twitter,anies
luar biasa cuma anies satu bobotoh jak mania ubah shaa allah dunia sepak bola satu,positive,twitter,anies
tagih anies part lanjut keren,positive,twitter,anies
keren banget abahh kalo jadi presiden acara ganti jadi tagih anies bah,positive,twitter,anies
moga datang sehat sehat moga acara sukses berkah menang anies muhaimin 01,positive,twitter,anies
indonesia sedang baik baik buat niat ubah jadi nyata sama anies muhaimin indonesia jadi lebih baik moga allah meridoi ikhtiar jadi nyata,positive,twitter,anies
masyaallah milenial hen semangat ubah tindak benar bosan ruang gerak bicara ancam uu ite insyaallah upaya dukung anies muhaimin menang 14 02 2024 hasil baik puas amin amin amin amin,positive,twitter,anies
dukung 01 enggak sosok apa bawa sama sosok sebut ide gagas program amp etika baik perlu terus hidup amp tumbuh siapa sosok bawa khawatir iya satu satu cara kawal terus sodorin video video desak anies buat tagih,positive,twitter,anies
sedih bangga campur jadi satu harap indonesia lebih baik indonesia untung milik anies baswedan moga allah meridoi iktiar ubah,positive,twitter,anies
bangun tidur disuguhin video prof mahfud nyanyi bagus sih suara anies kayak akak prof mahfud daily prof mahfud dacademy,positive,twitter,anies
non kpop related mrindink banget nontonnya doang sejis ngaji amp doa bareng luar loh banyak banget mashaallah abah anies amp cak imin semangat hari doa baik kumpulakbarjis01,positive,twitter,anies
kok abang tinggal jakarta apa lama anies jadi gubernur rasa ubah lebih baik shg pilih abstain,positive,twitter,anies
surabaya kota awal deklarasi amp akhir desak anieskeren,positive,twitter,anies
anies lah pilih baik anies kalah pilih ganjar timbang prabowo,positive,twitter,anies
yakin kalau anies kalah putar 1 pilih baik memang ganjar enggak mau deh pilih prabowo,positive,twitter,anies
