full_text,label,source
 semangat terus pak ganjar kita dukung para nahasiswa untuk berekspresi,positive,twitter
ganjar bersilaturahmi membawa semangat toleransi ia disambut langsung oleh uskup mgr paskalis bruno syukur dalam kesempatan itu diajak berkeliling bangunan katedral sembari berdiskusi soal masa depan bangsa negara dan toleransi ganjarmahfud2024 ,positive,twitter
mas ganjar dan pak mahfud disorot karena keseriusan mereka dalam membangun fondasi pendidikan yang kokoh melalui program 1 keluarga miskin 1 sarjana  ganjar pranowo hanya dia yang betul merakyat dan akan berbuat lebih demi ganjarmahfud2024 dulujokowisekarangganjar coblos3 ,positive,twitter
 semoga ganjar mahfud menang demi indonesia sejahtera,positive,twitter
 sangat yakin dan percaya insyallah allah akan melindungi indonesia dgn memenangkanpak ganjar,positive,twitter
 ga respek sama sekali ke no 2 lebih baik dukung nomor 1 deh kalau tidak berhasil ada ganjar yang pantas dipilih ,positive,twitter
 terimakasih telah peduli pak ganjar sehat selalu,positive,twitter
 survei abal2 amp sekaligus menjadi konsultan politiknya kubu 02 koq dipercaya ? pasti dibayar untuk mengiring suara tidak sesuai dgn fakta dilapangan amp aspirasi masyarakat tetap psslon 03 ganjar mahfud yg terbaik amp pilihan yg realistis ,positive,twitter
visi ganjar tentang aksebilitas bagi disabilitas adalah langkah maju menuju indonesia yang lebih adil bersama ganjar kita sejahtera ganjarmahfud2024 dulujokowisekarangganjar coblos3 ,positive,twitter
 pahami progran beliau insyallah pak ganjar bisa melanksanakan program tersebut dapat terlaksana dengan baik,positive,twitter
 ini yang saya sukai dari pak ganjar jiwa toleransi nya tinggi,positive,twitter
 di putaran pertama saya akan memilih pak anies tapi jika kalah saya akan memilih pak ganjar saya akan teguh pada keputusan saya ,neutral,twitter
 sama anak saya juga kelas 1sd pilihnya pak ganjar karena suaranya lembut kalo ngomong ngga kaya mamanya kata dia,positive,twitter
capres nomor urut 3 didampingi istrinya siti atikoh bersilaturahmi ke keuskupan bogor kamis 9 2 2024  kehadiran ganjar menapak tilas presiden soekarno dalam upaya menjaga toleransi di indonesia ganjarmahfud2024 ganjarpresidenrakyat kratonbersamarakyat ,positive,twitter
 bang capresnya kok gag rame ya hanya anis dan prabowo ajapak ganjar padahal bagus orangnya pintar dan tegas tapi sayang gag ada taring di tahun politik ini,neutral,twitter
semangat ganjar pranowo amp rof mahfud mengajak kita untuk bertindak nyata dalam mewujudkan cita amp cita bersama  kesejahteraan berkali lipat indonesia hebat ! ganjarmahfud2024 dulujokowisekarangganjar coblos3 ,positive,twitter
 saya akan memberi suara untuk pak anies di awal tetapi jika tidak menang saya akan mendukung pak ganjar saya tidak akan terpikat ,neutral,twitter
