full_text,label,source
 parah banget tim merekaapa yang salah nelayan jadi caleg?  sahada yang bekingan paman,negative,twitter
 hahaha ndak sekalian bung karno habibie org udh meninggal ya ora urus dunia bowo ,neutral,twitter
 bisa ape lu dodol ,negative,twitter
 seperti yg diteriakkan persetta kampanye jiancok prabowo kon nanggap dewe cok ,negative,twitter
 org dihinakan dikalianbelum berkuasa dah bebas hina2,negative,twitter
 tuhan sudah menentukan bahwa presiden ri ke 8 adalah prabowo,positive,twitter
mari terus menjalin persahabatan dan semoga di tahun baru ini kita senantiasa diberikan kebaikan serta kebajikan prabowo prabowosubianto menhanprabowo kemhan kemhanri imlek2024,positive,twitter
menteri pertahanan prabowo subianto bersama segenap keluarga besar kementerian pertahanan mengucapkan selamat tahun baru imlek 2024  ,positive,twitter
 kalau ini ternyata fitnah atau hoax kamu siap pertanggung jwabkan? saya bakal jdi saksi kasus ini ntah itu bapak prabowo atau mas nya yang masuk penjara,negative,twitter
 sehat selalu pak prabowo dan pak erik dan dilancarkan kemenangan 02 untuk seluruh rakyat indonesia,positive,twitter
yes mantab barengmas b0w0gbran visinya membangun generasi emas akan menjadi sumber daya pribadi yang mumpuni dan etos kerja yang terbaik kamukita02biruingbk sabtubiru pestarakyat,positive,twitter
insyaallah pak prabowo akan menjadi presiden termuda di antara tiga raksasa demokrasi dunia,positive,twitter
 iyain aja deh biar senang,neutral,twitter
 merinding gak lu dodol ,negative,twitter
 bukan ingin gagalkan tp dia sendiri yg bikin ulah dr penbelian pesawat makanya tonton beritanya sampai akhirbiar ga gagal pokus,negative,twitter
 gen milenial amp gen z mereka tidak hidup di jaman itu jadi tidak tau siapa sebenarnya prabowo,neutral,twitter
 aamiin semoga allah ta ala merihoi ,positive,twitter
 emang 2014 dan 2019 elo dukung prabowo? gua yakin elo dukung selain prabowo ga usah bohong deh elo? yg jujur skrg ngaku sing paling prabowo karna dapat cuan kah?,negative,twitter
berbagai survei sudah memperlihatkan kalau prabowo yang akan menang baik 1 atau 2 putaran pertanyaannya kemudian bagaimana anies setelah pilpres? dia harus tetap punya tempat berlabuh masih ada pilgub dki jikalau dia tak segan diolok2 gila jabatan,neutral,twitter
prabowo gibran kembali dapat amunisi dukungan dari relawan diy siap menangkan satu putaran beritajogja jogja jogjaistimewa ,positive,twitter
selain dewa 19 ini deretan artis dan band yang hibur pendukung prabowo gibran di kampanye akbar gbk ,positive,twitter
weh keren  jadi tambah ngiri lihat rombongan yang mau ke gbk nya pak ok  selamat jalan semoga selamat sampai tujuan salam satu putaran,positive,twitter
 jam 3 dini harimilitansi 01 jgn ditanya ya ,neutral,twitter
 upload nya di tiktok pak hahaha,neutral,twitter
percaya banget barengmas b0w0gbran mumpuni membangun ekonomi dengan adil benar2 harapan terbaik kita2 utk masa depan negara kamukita02biruingbk sabtubiru pestarakyat,positive,twitter
 hoo gitu trus kenapa berupaya merebut hati umat muslim soal palestina?,negative,twitter
semoga pendukung pak anies dan pak prabowo yang lagi kumpul kumpul dalam satu zona damai damai gak ada provokasi,positive,twitter
 keberagaman pengalaman pak prabowo dalam berbagai sektor dapat memberikan wawasan yang kaya untuk mengelola berbagai aspek pembangunan di indonesia si26,positive,twitter
semoga pak prabowo sewa pawang hujan hari ini biar ga hujan wkwk soalnya aku mau ke samudra ancol ,neutral,twitter
 intinya pendukung 01 dan 03 mulai stres berjamaah melihat elektabilitas p prabowo gibran di atas 50 ,negative,twitter
tkn fanta gelar panggung budaya indonesia maju wujud perhatian prabowo gibran terhadap literasi ,positive,twitter
 dukung boleh goblok jangantunjukan fakta klo itu hoax,negative,twitter
 bedakan dong antara etika dengan hukum,neutral,twitter
 bu mega amp prabowo jg gk baek2 aja sempet perjanjian batu tulis kan,negative,twitter
prabowo kalau terlihat shalat pura2 sj gerak2 tapi gak baca apa2 yg wajib ga baca tmasuk syahadat dlm shalat kalau demi tuhan sj bohong taatnya pura2 bagaimana janji2 demi rakyat dan negara jg pura2 dan palsu buat nafsu libido berkuasa semata,negative,twitter
 klo war belum tentu laku kali ya ?,neutral,twitter
betul kita2 yg cerdas memilih barengmas b0w0gbran berdasarkan bukti kinerja serta strateginya mengatasi tantangan dunia kamukita02biruingbk sabtubiru pestarakyat,positive,twitter
