full_text,label,source
parah banget tim merekaapa salah nelayan jadi caleg  sahada beking paman,Negative,twitter
hahaha sekali bung karno habibie orang tinggal ora urus dunia bowo,Neutral,twitter
apa lu dodol,Negative,twitter
teriak persetta kampanye jiancok prabowo kon nanggap dewe cok,Negative,twitter
orang hina dikalianbelum kuasa deh bebas hina2,Negative,twitter
tuhan presiden ri 8 prabowo,Positive,twitter
terus jalin sahabat moga tahun baru senantiasa beri baik kebaji prabowo prabowosubianto menhanprabowo kemhan kemhanri imlek2024,Positive,twitter
menteri tahan prabowo subianto sama segenap keluarga besar menteri tahan ucap selamat tahun baru imlek 2024,Positive,twitter
kalau nyata fitnah hoax kamu siap tanggung jwabkan  bakal jadi saksi kasus entah bapak prabowo mas nya masuk penjara,Negative,twitter
sehat selalu prabowo erik lancar menang 02 seluruh rakyat indonesia,Positive,twitter
yes mantab barengmas b0w0gbran visi bangun generasi emas jadi sumber daya pribadi mumpuni etos kerja baik kamukita02biruingbk sabtubiru pestarakyat,Positive,twitter
insyaallah prabowo jadi presiden muda tiga raksasa demokrasi dunia,Positive,twitter
iyain deh biar senang,Neutral,twitter
merinding enggak lu dodol,Negative,twitter
bukan gagal sendiri bikin ulah beli pesawat makanya tonton berita akhirbiar enggak gagal pokus,Negative,twitter
gen milenial amp gen hidup jaman jadi tau siapa benar prabowo,Neutral,twitter
amin moga allah ta ala merihoi,Positive,twitter
memang 2014 2019 lo dukung prabowo  gua yakin lo dukung prabowo enggak usah bohong deh lo  jujur sekarang aku sing paling prabowo cuan ,Negative,twitter
bagai survei lihat kalau prabowo menang baik 1 2 putar tanya kemudian bagaimana anies pilpres  tetap punya tempat labuh pilgub dki jikalau tak segan diolok2 gila jabat,Neutral,twitter
prabowo gibran amunisi dukung rawan diy siap menang satu putar beritajogja jogja jogjaistimewa,Positive,twitter
dewa 19 deret artis band hibur dukung prabowo gibran kampanye akbar gbk,Positive,twitter
weh keren jadi tambah iri lihat rombong mau gbk nya selamat jalan moga selamat tuju salam satu putar,Positive,twitter
jam 3 dini harimilitansi 01 jangan tanya,Neutral,twitter
upload nya tiktok hahaha,Neutral,twitter
percaya banget barengmas b0w0gbran mumpuni bangun ekonomi adil benar harap baik kita2 masa depan negara kamukita02biruingbk sabtubiru pestarakyat,Positive,twitter
hoo terus upaya rebut hati umat muslim soal palestina ,Negative,twitter
moga dukung anies prabowo kumpul kumpul satu zona damai damai enggak provokasi,Positive,twitter
agam alam prabowo bagai sektor beri wawas kaya kelola bagai aspek bangun indonesia si26,Positive,twitter
moga prabowo sewa pawang hujan hari biar enggak hujan soal aku mau samudra ancol,Neutral,twitter
inti dukung 01 03 mulai stres jamaah lihat elektabilitas p prabowo gibran atas 50,Negative,twitter
tkn fanta gelar panggung budaya indonesia maju wujud perhati prabowo gibran hadap literasi,Positive,twitter
dukung goblok jangantunjukan fakta kalau hoax,Negative,twitter
beda dong etika hukum,Neutral,twitter
bu mega amp prabowo enggak baek2 sempat janji batu tulis kan,Negative,twitter
prabowo kalau lihat shalat pura2 gerak2 enggak baca apa wajib enggak baca tmasuk syahadat shalat kalau tuhan bohong taat pura2 bagaimana janji2 rakyat negara pura2 palsu buat nafsu libido kuasa semata,Negative,twitter
kalau war laku kali ,Neutral,twitter
betul kita2 cerdas pilih barengmas b0w0gbran dasar bukti kerja strategi atas tantang dunia kamukita02biruingbk sabtubiru pestarakyat,Positive,twitter
bagai orang tokoh alam bidang militer prabowo mungkin bawa aspek aman tahan tingkat lebih baik,Positive,twitter
apa hubung kalau cuman bupati sidoarjo deklarasi dukung 02  sesat publik tak pernah jokowi prabowo libat korupsi apa,Negative,twitter
enggak ngaruh all prabowo,Positive,twitter
siapa henti hilir jual barang mentah ,Negative,twitter
yodah sih silah pilih sesuai,Neutral,twitter
jangan kaget berita rekam jejak sih wowo hapus anak buah kominfo,Negative,twitter
info tps nyoblos prabowo bonus mayor teddy becandayeejangseriuskalopunseriusgapapasieakumahmauaja ahahah,Neutral,twitter
tahi nya prabowo lebih lezzat bercitarasa alas benar,Negative,twitter
coba deh sekali kali enggak usah buka buka artikel buku kalo kalian malas maca coba cari google pakai keyword prabowo santa cruz sama prabowo mawar cukup baca headline nya minimal baca headline 5 berita deh coba dulu kalian cengang,Neutral,twitter
padahal dukung prabowo aku bukan dukung hahahaha kocak memang biasa omong benar dukung militan prabowo pakai kata kata bukan dukung prabowo aku bro lu memang dukung pilih prabowo gibran hahaha,Negative,twitter
berani prabowo ambil putus mungkin anggap bagai karakteristik perlu pimpin,Positive,twitter
sby dukung prabowo soeharto orba sama prabowo arti jalan buat 02 03 soekarno,Neutral,twitter
benar tak asing belakang siapa,Neutral,twitter
lah prabowo menang survay lansung lantik besok 11 02 24 enggak bahan post neng,Positive,twitter
