full_text,label,source
@ganjarpranowo @mohmahfudmd Semangat terus pak Ganjar. Kita dukung para nahasiswa untuk berekspresi,positive,twitter
Ganjar bersilaturahmi membawa semangat toleransi. Ia disambut langsung oleh Uskup Mgr Paskalis Bruno Syukur. Dalam kesempatan itu @ganjarpranowo diajak berkeliling bangunan katedral sembari berdiskusi soal masa depan bangsa negara dan toleransi. #GanjarMahfud2024 https://t.co/fienoU6AtN,positive,twitter
Mas Ganjar dan Pak Mahfud disorot karena keseriusan mereka dalam membangun fondasi pendidikan yang kokoh melalui program 1 Keluarga Miskin 1 Sarjana . Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/MlyT5w4g22,positive,twitter
@ganjarpranowo semoga ganjar mahfud menang demi Indonesia sejahtera,positive,twitter
@mmarleyt @M45Broo Sangat yakin dan percaya. InsyaaAllah Allah akan melindungi Indonesia dgn memenangkan.pak Ganjar.,positive,twitter
@VIVAcoid Ga respek sama sekali ke no 2 lebih baik dukung nomor 1 deh. Kalau tidak berhasil ada Ganjar yang pantas dipilih https://t.co/piGNRq6jfL,positive,twitter
@ganjarpranowo @mohmahfudmd Terimakasih telah peduli pak ganjar sehat selalu,positive,twitter
@kong_hridwan @msobri99 Survei abal2 &amp; sekaligus menjadi konsultan politiknya kubu 02 koq dipercaya ..?. Pasti dibayar untuk mengiring suara. Tidak sesuai dgn fakta dilapangan &amp; aspirasi masyarakat. Tetap Psslon 03: Ganjar-Mahfud yg terbaik &amp; pilihan yg realistis ..,positive,twitter
Visi Ganjar tentang aksebilitas bagi disabilitas adalah langkah maju menuju Indonesia yang lebih adil. Bersama Ganjar kita sejahtera @AlexanderM15_ #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/eQOfcwmRdO,positive,twitter
@timpenguinnas Pahami progran beliau insyallah pak ganjar bisa melanksanakan program tersebut dapat terlaksana dengan baik,positive,twitter
@ganjarpranowo ini yang saya sukai dari pak ganjar jiwa toleransi nya tinggi,positive,twitter
@kurawa @jokowi Di putaran pertama saya akan memilih Pak Anies tapi jika kalah saya akan memilih Pak Ganjar saya akan teguh pada keputusan saya https://t.co/sILCiutkAT,neutral,twitter
@mediterariaa_ Sama anak saya juga kelas 1SD pilihnya pak ganjar... karena suaranya lembut kalo ngomong ngga kaya mamanya kata dia...,positive,twitter
Capres nomor urut 3 @ganjarpranowo didampingi istrinya Siti Atikoh bersilaturahmi ke Keuskupan Bogor Kamis (9/2/2024). Kehadiran Ganjar menapak tilas Presiden Soekarno dalam upaya menjaga toleransi di Indonesia. #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/BaGQFClBnu,positive,twitter
@ekokuntadhi1 bang capresnya kok gag rame ya hanya anis dan prabowo ajapak ganjar padahal bagus orangnya pintar dan tegas tapi sayang gag ada taring di tahun politik ini,neutral,twitter
Semangat Ganjar Pranowo&amp;Prof Mahfud mengajak kita untuk bertindak nyata dalam mewujudkan cita&amp;cita bersama . Kesejahteraan berkali lipat Indonesia Hebat ! @ikalailaaaa #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/OXHdJMhhAS,positive,twitter
@kurawa @jokowi Saya akan memberi suara untuk Pak Anies di awal tetapi jika tidak menang saya akan mendukung Pak Ganjar saya tidak akan terpikat https://t.co/F26hJnvbDP,neutral,twitter
@DedynurPalakka lain kali pdip kalau kampaye g usah catut nama rakyat tulisin aja selain pendukung ganjar di larang masuk jd bikin kampaye tertutup aja jgn bilang pesta rakyat krn rakyat g boleh dateng kalau g milih Ganjar masa rakyat di paksa buat milih?,negative,twitter
Ganjar Pranowo menunjukkan contoh nyata inklusivitas dalam setiap kebijakannya inspiratif sekali. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @amariyllis #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/Ua9e75MwiQ,positive,twitter
@ganjarpranowo Bogor sudah pasti full dukung bapak ganjar Pranowo,positive,twitter
Rombongan pak Ganjar datang menghadiri hajatan rakyat bukan pesta konglomerat !!! Masyarakat kota Solo menyambut dengan antusias Capres Ganjar Pranowo. https://t.co/livx2cHlPX,positive,twitter
@kurawa @jokowi Pilihan saya pada putaran pertama adalah Pak Anies namun jika kalah saya akan memilih Pak Ganjar saya tidak akan melihat ke belakang https://t.co/wrGYHcuXQq,neutral,twitter
@ganjarpranowo Rasa toleransi pada diri pak Ganjar sangat besar. Beliau menghargai semua agama yg ada di Indonesia,positive,twitter
@antaranews Salam m3tall. Gaspoll terusss dukung dan kawal ganjar mahfudd sampai menuju k3menangan. Yakin bangett bisa membawa kemajuan untuk bangsa inii sehat selaluu pakk ganjarrr,positive,twitter
Keberanian Ganjar-Mahfud dalam debat sungguh mencerminkan kejujuran dan keberanian sejati . Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @Kheitarosm1 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/fsYJv9YoOl,positive,twitter
Dukung Ganjar-Mahfud karena mereka adalah perwakilan aspirasi rakyat. Tiga Kali Lebih Sejahtera Indonesia Jaya! @cipscipshore #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/e9BevVvL6m,positive,twitter
@ganjarpranowo Terimakasih paj Ganjar sudah berkenan mengunjungi keuskupan sufragan,positive,twitter
@Yus_197 @jokowi @puanmaharani_ri Rupanya casingnya doang calem ternyata PENGHIANAT.... Saya siappp menangkan Ganjar Mahfud,positive,twitter
@okezonenews always dukung pak Ganjar Mahfud,positive,twitter
@Dennysiregar7 Suara Ganjar adalah suara PDIP yaitu sekitar 19 - 20 %,neutral,twitter
@yusuf_dumdum Ganjar saja sama bahkan bus dari jatim ada yg kecelakaan di tol Namanya kampanye biasa saja ko anda heran yakin kalah ya?,negative,twitter
@ganjarpranowo Calon pemimpin yang saling menghargai bapak Ganjar ini,positive,twitter
Ganjar-Mahfud menunjukkan bahwa keberagaman adalah kekuatan yang harus dihargai. Ganjar Pranowo terbukti mensejahterakan @anggitsnu #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/yUzT7cHH0m,positive,twitter
@kumparan pak ganjar padahal ganteng bgt‍‍‍,positive,twitter
Bersama Ganjar Pranowo&amp;Prof Mahfud kita bisa memperjuangkan kepentingan bersama sebagai bangsa . Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @ios787898 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/k6IoiKvi9S,positive,twitter
Ahok meyakini bahwa Ganjar Pranowo&amp;Prof Mahfud akan membawa Indon3sia ke puncak kejayaan . Ganjar Pranowo hanya yang terbaik untuk rakyat @InariNea #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/7Ewp4fsz2d,positive,twitter
@tempodotco Ganjar tambah ajor rek arep menang satu putaran tambah angel njar... @ganjarpranowo,negative,twitter
@gurl_win @jangkrik_inc @_P0c1_1mOeTWibu @__AnakKolong @anneserlo @AntoniusCDN @dayatpiliang @Dennysiregar7 @islah_bahrawi @mikuroQ @Ganjar_Mahfud03 @ENJEULL @caesar_emil Padahal pendukung prabowo ngaku bukan pendukung hahahaha... Kocak memang. Biasanya yang ngomong begitu sebenar pendukung militan Prabowo di pake kata kata begitu bukan pendukung prabowo ngaku aja bro lu memang pendukung dan pemilih Prabowo-Gibran. Hahaha...,neutral,twitter
@Fahrihamzah Benar ... Krn Yang Benar pilih Ganjar. ..!!!,positive,twitter
Yang paling ganteng tuh malah pak Ganjar gak sih.......,positive,twitter
@kurawa @jokowi Awalnya saya akan mendukung Pak Anies tapi jika tidak berhasil saya akan memilih Pak Ganjar saya akan konsisten. https://t.co/oqEhEtWeXs,neutral,twitter
@Tan_Mar3M Ahhh kaya paslon lain kaga ajah sama ajah bowo ganjar anies sistemnya bgini pake calo semua. Ga usah terlalu memuja salah satu paslon dan menjelekan yg lain. Di akhirat postingan ini akan di hisab.,neutral,twitter
@VIVAcoid udah engga bisa diganggu gugat pokonya nomer 3 Sat set dukung Ganjar-Mahfud,positive,twitter
Konser yang penuh sesak di GBK menandakan bahwa Ganjar - Mahfud benar-benar menjadi magnet bagi pendukungnya . Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @wibsterr #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/afYrFZXKER,positive,twitter
@ganjarpranowo Toleransi beragama pak Ganjar tak diragukan lagi. Beliau mencintain semua agama,positive,twitter
Solo bergoyang Semarang bersiap Ganjar-Mahfud membawa harapan. Ganjar Pranowo terbukti lebih baik @CodenameRidho #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/gfgO5aGTSM,positive,twitter
@ganjarpranowo @mohmahfudmd Aku selalu dukung pa Ganjar untuk masa depan Indonesia yang jauh lebih baik lagi,positive,twitter
buat orang orang yang membanggakan desak anies please desak anies itu bukan program kerja kalau dia menjabat jadi presiden cuman bahan kampanye doang jawabannya juga rada normatif yang kemungkinan bisa dijawab sama ganjar prof mafud sama gibran (kecuali prabowo),positive,twitter
@HmfaqihA @AdianNapitupul1 Terbukti semua kampanye Ganjar Mahfud sll padat. Banteng membara. GAMA 🇮🇩🇮🇩 #GanjarMahfud2024,positive,twitter
@mas_veel Kalo Ganjar beneran kalah kalian makan taik berani ga ,negative,twitter
@VIVAcoid Tim support no 1 tidak akan memilih no 2. Kalau kaalah putaran pertama lebih baik pilih Ganjar https://t.co/jYUHUDgHhW,positive,twitter
@WagimanDeep212_ Slankers juga mendukung pak ganjar-mahfudd,positive,twitter
Pak Ganjar kerjanya sat set sat set,positive,twitter
@inilahdotcom @ganjarpranowo Yakin Ganjar mahfud menang,positive,twitter
@ganjarpranowo Pak ganjar selalu menjunjung tinggi tolesansi keren bgt sih,positive,twitter
Konser Salam M3tal memberikan Ganjar - Mahfud kesempatan untuk mengenalkan program-program unggulan mereka . Bersama Ganjar kita sejahtera @txtdrnyambat #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/N2uSb8z81A,positive,twitter
@arieparikesit Pak Ganjar di Solo Pak Arie. Ruame banget di jalan Slamet Riyadi. Yang mau long weekend di Solo sebaiknya dipertimbangkan lagi.,positive,twitter
@wisnukatep @Narayan24587786 @condensedbold @Weedya18 Sama Ganjar omong doang apa kabar wkwkwk kartu tani tidak terealisasi banjir sampai sebulan dibanding Anies cuma dua hari saja wkwkwk,negative,twitter
@kurawa @jokowi Saya akan memilih Pak Anies di putaran pertama namun jika kalah saya akan memilih Pak Ganjar saya tidak akan mengingkari https://t.co/rVujORyiGZ,neutral,twitter
Terima kasih untuk pesan cinta yang diberikan segenap Alumni Kampus Jawa Barat Untuk Ganjar-Mahfud. Ada dari ITB IPB Univ Indonesia Univ Padjajaran Univ Parahyangan Univ Pasundan Univ Kristen Maranatha Univ Ibnu Khaldun Univ Pakuan Univ Islam Negeri. https://t.co/9Cd5ZmVLFx,positive,twitter
Ganjar - Mahfud menggugah kebanggaan nasional melalui Konser Salam M3tal yang luar biasa . Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @ultramanzoldyck #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/5mjVyTlan8,positive,twitter
Ganjar Pranowo&amp;Prof Mahfud adalah penjaga api semangat persatuan di dalam diri kita . Bersama Ganjar kita sejahtera @itsindaahhh #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/PunLQR9MIs,positive,twitter
@VIVAcoid Ahok kuda liar yg akan membatalkan koalisi anies dan ganjar jika ada putaran. Kedua,neutral,twitter
@ryan_nira TIMNAS 01 betul-betul bikin kampanye kali ini FUN! Ga lupa Pak Ganjar dan Pak Mahfud juga bikin pilpres kali ini menyenangkan. 02 gak diajak soalnya nepotisme ga asik,positive,twitter
@ch_chotimah2 @ganjarpranowo @mohmahfudmd Pak ganjar memang semangat sekali pokok e dukung pak ganjar terus,positive,twitter
Bersama Ganjar-Mahfud kita teguhkan persatuan dalam perbedaan. Ganjar Pranowo terbukti lebih baik @chryybbl #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/LvS2dAZ1Bx,positive,twitter
@ganjarpranowo Ga kurang Ganjar berjuang memenangkan 5 kontestasi pilkada dan pilpres keluarga si bahlul ini dibalas dgn penghianatan ga mendukung Ganjar msh kuterimalah tp memakai anak utk melawan Ganjar bahkan membela lawan itu manusia busuk namanya. Air susu dibalas air tuba. Bahlul!,negative,twitter
Dukung Ganjar-Mahfud Animasi Anti-KKN Muncul di Times Square! #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #indonesialebihbaik #GanjarMahfud2024 #GanjarMahfudM3nang https://t.co/wmOklFWewI,positive,twitter
Anjay stasiun Manggarai rame bgt dengan pendukung Paslon 1 sama 2 yang mau ke Jis dan GBKuntung Ganjar Di solo anjay gak di jakarta juga Kalau di jakarta juga buset ngeri chaos,neutral,twitter
@Aryprasetyo85 @BangWin04 Bener... makin hancur Indonesia ditangan ganjar dan PDIP nya. Sudah dimulai dari 2014 dst.....,negative,twitter
@Bisniscom All in ganjar mahfud,positive,twitter
Ganjar-Mahfud memenangkan dukungan kami dengan kebijakan yang cerdas dan adil . Ganjar Pranowo hanya yang terbaik untuk rakyat @fthnnnm #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/dfgcHeYaNV,positive,twitter
@ganjarpranowo Toleransi yang sangat tinggi. Pa Ganjar dan Bu atikoh bisa memposisikan dirinya disana,positive,twitter
@ganjarpranowo Pak ganjar memang sosok yang benar benar peduli akan rakyat,positive,twitter
jalan pulang kerja sore kemarin denger mba² yang dibelakang lagi ngomongin pilpres salah satunya bilang aku masih bingung sih mau milih anies apa ganjar terus dijawab sama temennya sama aku juga masih bingung diantara dua itu .,neutral,twitter
@kumparan Bersama Ganjar-Mahfud Indonesia akan smkin maju &amp; berkembang,positive,twitter
Dengan internet gratis bisa dipakai untuk belajar sampai bekerja Dengan bekerja bisa untuk makan &amp; minum Masyarakat butuh Kail Makan gratis bikin malas bekerja Ganjar-Mahfud mengerti kebutuhan kita sesuai perkembangan zaman #YakinPilihGanjar #ganjarpranowo #GanjarMahfud2024 https://t.co/8lAqIufdzb,positive,twitter
Purnawirawan Pati TNI AU Deklarasi Dukungan untuk Ganjar-Mahfud https://t.co/DqYcGGdT6A Datanglah keGotube nikmati video yang menarik #gotube,positive,twitter
Pemuda optimis Ganjar-Mahfud akan berhasil menegakkan keadilan dan meraih kemenangan yang gemilang . Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @gerydiwangkoro #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/LcY6jAIMas,positive,twitter
@ganjarpranowo Hati nurani pak Ganjar tak akan terkikis hanya karna politik,positive,twitter
Kalau Ganjar yang jadi Partainya pasti semakin semena mena,negative,twitter
@Melihat_Indo @mohmahfudmd @ganjarpranowo Semoga Ganjar Mahfud yang menang,positive,twitter
@ganjarpranowo @mohmahfudmd Dukungan penuh pada pak ganjar para mahasiswa di kampus harus memiliki kebebesan yabg membentuj kemajuan yang hebat,positive,twitter
@kumparan Jika Ganjar-Mahfud terpilih negeri ini akan sejahtera rakyat smkin makmur pendidikan akan maju dan nasib petani tdk akan ksusahan lg soal pupuk hutang2 akan d slsaikan smua ada solusi jika mereka jd pemimpin .,positive,twitter
@liputan6dotcom Kalo Anies Baswedan gagal ya tinggal pilih Ganjar Pranowo. Nggak perlu dilebih-lebihin https://t.co/SKAaAAocU8,neutral,twitter
@ngopibareng_id all in pak ganjar mahfud,positive,twitter
