full_text,label,source
@choymarkochoy @prabowo Parah banget tim mereka...apa yang salah nelayan jadi caleg?? Sah...ada yang bekingan paman,Negative,twitter
@AlissaWahid hahaha ndak sekalian bung karno habibie org udh meninggal ya ora urus dunia bowo @prabowo ,Neutral,twitter
@bengkeldodo @prabowo @Ndons_Back @AndreasSolusi @4Y4NKZ @dwioktariyadi @BosPurwa @Lembayung071 @AlmaghribiS @SiswantoBudiut5 @drReUtari08 https://t.co/n1SN1rc8dM Bisa ape lu dodol ,Negative,twitter
@baguswahyukr @tdjonk @PartaiSocmed Seperti yg diteriakkan persetta kampanye Jiancok Prabowo kon nanggap dewe cok ,Negative,twitter
@prabowo @Dahnilanzar @Fahrihamzah org dihinakan dikalian....belum berkuasa dah bebas hina2,Negative,twitter
@Kang__moel Tuhan sudah menentukan bahwa presiden RI ke 8 adalah Prabowo,Positive,twitter
Mari terus menjalin persahabatan dan semoga di tahun baru ini kita senantiasa diberikan kebaikan serta kebajikan. #Prabowo #PrabowoSubianto #MenhanPrabowo #Kemhan #KemhanRI #Imlek2024,Positive,twitter
Menteri Pertahanan Prabowo Subianto @prabowo bersama segenap keluarga besar Kementerian Pertahanan mengucapkan Selamat Tahun Baru Imlek 2024 . https://t.co/XFsLksXn2q,Positive,twitter
@muchlis_ar kalau ini ternyata fitnah atau hoax kamu siap pertanggung jwabkan? saya bakal jdi saksi kasus ini ntah itu bapak prabowo atau mas nya yang masuk penjara.,Negative,twitter
@erickthohir @prabowo @gibran_tweet Sehat selalu pak prabowo dan pak erik.. Dan dilancarkan kemenangan 02 untuk seluruh rakyat indonesia,Positive,twitter
Yes mantab BARENGMas B0W0GBran visinya membangun generasi emas akan menjadi sumber daya pribadi yang mumpuni dan etos kerja yang terbaik. @prabowo @prabowogibran02 #KamuKITA02BIRUinGbk SABTUBIru PESTARAkyat,Positive,twitter
InsyaAllah Pak Prabowo akan menjadi presiden termuda di antara tiga raksasa demokrasi dunia.,Positive,twitter
@bdrkahe118 @gghhjjkk580dr0 @jokowi @prabowo @gibran_tweet @ilhamram_dani @S4N_W1B1 @kangdede78 Iyain aja deh biar senang,Neutral,twitter
@bengkeldodo @prabowo @Ndons_Back @AndreasSolusi @4Y4NKZ @dwioktariyadi @BosPurwa @Lembayung071 @AlmaghribiS @SiswantoBudiut5 @drReUtari08 https://t.co/cuOwpo0u5t Merinding gak lu dodol ,Negative,twitter
@TeddGus @prabowo @ganjarpranowo @aniesbaswedan bukan ingin gagalkan tp. dia sendiri yg bikin ulah dr penbelian pesawat. makanya tonton beritanya sampai akhir...biar ga gagal pokus...,Negative,twitter
@retnosetyow4t gen milenial &amp; gen z mereka tidak hidup di jaman itu jadi tidak tau siapa sebenarnya prabowo,Neutral,twitter
@fadlizon @prabowo @gibran_tweet Aamiin... Semoga Allah ta'ala merihoi... ,Positive,twitter
@zarryhendrik Emang 2014 dan 2019 elo dukung Prabowo? Gua yakin elo dukung selain Prabowo. Ga usah bohong deh elo? Yg jujur. Skrg ngaku sing paling prabowo. Karna dapat cuan kah?,Negative,twitter
Berbagai survei sudah memperlihatkan kalau Prabowo yang akan menang baik 1 atau 2 putaran. Pertanyaannya kemudian bagaimana Anies setelah Pilpres? Dia harus tetap punya tempat berlabuh. Masih ada Pilgub DKI jikalau dia tak segan diolok2 gila jabatan,Neutral,twitter
Prabowo-Gibran Kembali Dapat Amunisi Dukungan dari Relawan DIY Siap Menangkan Satu Putaran https://t.co/ARQ2zJ5J9d #beritajogja #jogja #jogjaistimewa https://t.co/NM3Q1rU2xh,Positive,twitter
Selain Dewa 19 ini Deretan Artis dan Band yang Hibur Pendukung Prabowo-Gibran di Kampanye Akbar GBK https://t.co/utVgVMWQzO,Positive,twitter
Weh keren... .. Jadi tambah ngiri lihat rombongan yang mau ke GBK nya Pak @prabowo @gibran_tweet Ok . Selamat jalan semoga selamat sampai tujuan Salam satu putaran.,Positive,twitter
@TeddGus @prabowo @gibran_tweet Jam 3 dini hari...MILITANSI 01 JGN DITANYA YA https://t.co/nIc1cdPhlk,Neutral,twitter
@erickthohir @prabowo @gibran_tweet upload nya di tiktok pak hahaha,Neutral,twitter
Percaya banget BARENGMas B0W0GBran mumpuni membangun ekonomi dengan adil benar2 harapan terbaik kita2 utk masa depan negara. @prabowo @prabowogibran02 #KamuKITA02BIRUinGbk SABTUBIru PESTARAkyat,Positive,twitter
@bdrkahe118 @ggggggfrf3 @jokowi @prabowo @gibran_tweet @ilhamram_dani @S4N_W1B1 @kangdede78 Hoo gitu trus kenapa berupaya merebut hati umat muslim soal Palestina?,Negative,twitter
Semoga Pendukung Pak Anies dan Pak Prabowo yang lagi kumpul kumpul dalam satu zona damai damai gak ada provokasi,Positive,twitter
@DedynurPalakka @gibran_tweet @basuki_btp Keberagaman pengalaman Pak Prabowo dalam berbagai sektor dapat memberikan wawasan yang kaya untuk mengelola berbagai aspek pembangunan di Indonesia. https://t.co/cnsvXPsi26,Positive,twitter
semoga pak prabowo sewa pawang hujan hari ini biar ga hujan wkwk soalnya aku mau ke samudra ancol ,Neutral,twitter
@yusuf_dumdum Intinya pendukung 01 dan 03 mulai stres berjamaah melihat elektabilitas P Prabowo Gibran di atas 50%,Negative,twitter
TKN Fanta Gelar Panggung Budaya Indonesia Maju Wujud Perhatian Prabowo-Gibran Terhadap Literasi https://t.co/FJ1OTT1ILf https://t.co/5uWWBORcDq,Positive,twitter
@Rocky_Antonie @dsangg3 @DivHumas_Polri @CCICPolri @Aryprasetyo85 @prabowo Dukung boleh goblok jangan....tunjukan fakta klo itu hoax,Negative,twitter
@bdrkahe118 @1HandeDelisii @jokowi @prabowo @gibran_tweet @Jatayu_45back @siregar_elang @idrisbue Bedakan dong antara etika dengan hukum,Neutral,twitter
@gabutbangey @jayacand @VIVAcoid bu mega &amp; prabowo jg gk baek2 aja sempet perjanjian batu tulis kan,Negative,twitter
Prabowo kalau terlihat shalat pura2 sj gerak2 tapi gak baca apa2 yg wajib ga baca tmasuk syahadat dlm shalat kalau demi Tuhan sj bohong taatnya pura2 bagaimana janji2 demi rakyat dan negara jg pura2 dan palsu buat nafsu libido berkuasa semata,Negative,twitter
